Timestamp,Bid,Ask
2025-04-17 09:47:37,116.8,116.87
2025-04-17 09:47:38,116.78,116.85
2025-04-17 09:47:40,116.78,116.86
2025-04-17 09:47:42,116.76,116.86
2025-04-17 09:47:42,116.79,116.86
2025-04-17 09:47:44,116.79,116.89
2025-04-17 09:47:45,116.79,116.86
2025-04-17 09:47:47,116.79,116.89
2025-04-17 09:47:51,116.82,116.89
2025-04-17 09:47:52,116.79,116.89
2025-04-17 09:47:58,116.82,116.89
2025-04-17 09:47:59,116.79,116.89
2025-04-17 09:47:59,116.79,116.86
2025-04-17 09:48:01,116.79,116.89
2025-04-17 09:48:02,116.79,116.86
2025-04-17 09:48:03,116.79,116.89
2025-04-17 09:48:04,116.79,116.86
2025-04-17 09:48:05,116.79,116.89
2025-04-17 09:48:07,116.82,116.89
2025-04-17 09:48:08,116.79,116.89
2025-04-17 09:48:09,116.82,116.89
2025-04-17 09:48:11,116.81,116.89
2025-04-17 09:48:12,116.81,116.91
2025-04-17 09:48:13,116.81,116.89
2025-04-17 09:48:15,116.81,116.91
2025-04-17 09:48:16,116.86,116.96
2025-04-17 09:48:17,116.89,116.99
2025-04-17 09:48:19,116.89,116.96
2025-04-17 09:48:19,116.89,116.93
2025-04-17 09:48:20,116.89,116.96
2025-04-17 09:48:21,116.86,116.96
2025-04-17 09:48:22,116.84,116.91
2025-04-17 09:48:23,116.89,116.96
2025-04-17 09:48:24,116.86,116.96
2025-04-17 09:48:25,116.89,116.99
2025-04-17 09:48:26,116.89,116.96
2025-04-17 09:48:28,116.89,116.99
2025-04-17 09:48:30,116.89,116.96
2025-04-17 09:48:31,116.89,116.99
2025-04-17 09:48:32,116.89,116.96
2025-04-17 09:48:38,116.89,116.99
2025-04-17 09:48:39,116.89,116.96
2025-04-17 09:48:41,116.88,116.96
2025-04-17 09:48:42,116.85,116.92
2025-04-17 09:48:43,116.88,116.95
2025-04-17 09:48:45,116.88,116.98
2025-04-17 09:48:46,116.88,116.95
2025-04-17 09:48:47,116.88,116.97
2025-04-17 09:48:48,116.88,116.98
2025-04-17 09:48:50,116.9,116.98
2025-04-17 09:48:51,117.0,117.07
2025-04-17 09:48:55,116.97,117.07
2025-04-17 09:48:56,117.0,117.07
2025-04-17 09:48:57,116.97,117.07
2025-04-17 09:48:58,116.97,117.05
2025-04-17 09:48:59,116.97,117.07
2025-04-17 09:49:01,116.97,117.05
2025-04-17 09:49:02,116.95,117.05
2025-04-17 09:49:03,116.95,117.02
2025-04-17 09:49:04,116.95,117.05
2025-04-17 09:49:06,116.98,117.05
2025-04-17 09:49:07,116.97,117.05
2025-04-17 09:49:08,116.97,117.07
2025-04-17 09:49:09,116.97,117.05
2025-04-17 09:49:10,116.95,117.02
2025-04-17 09:49:16,116.92,117.02
2025-04-17 09:49:17,116.88,116.95
2025-04-17 09:49:18,116.93,117.0
2025-04-17 09:49:20,116.93,117.02
2025-04-17 09:49:21,116.9,117.0
2025-04-17 09:49:22,116.9,116.97
2025-04-17 09:49:24,116.9,116.95
2025-04-17 09:49:24,116.88,116.98
2025-04-17 09:49:25,116.88,116.95
2025-04-17 09:49:28,116.93,117.0
2025-04-17 09:49:32,116.88,116.98
2025-04-17 09:49:32,116.88,116.95
2025-04-17 09:49:36,116.88,116.92
2025-04-17 09:49:39,116.85,116.9
2025-04-17 09:49:40,116.78,116.88
2025-04-17 09:49:42,116.83,116.9
2025-04-17 09:49:45,116.83,116.93
2025-04-17 09:49:46,116.83,116.9
2025-04-17 09:49:50,116.83,116.93
2025-04-17 09:49:51,116.83,116.9
2025-04-17 09:50:01,116.83,116.88
2025-04-17 09:50:02,116.75,116.85
2025-04-17 09:50:03,116.78,116.88
2025-04-17 09:50:04,116.75,116.85
2025-04-17 09:50:05,116.78,116.85
2025-04-17 09:50:06,116.75,116.85
2025-04-17 09:50:07,116.78,116.85
2025-04-17 09:50:08,116.75,116.83
